timestamp,temperature,temperature_class,humidity,humidity_class
775438259,26.9,chaud,58.4,confortable
775438262,26.7,chaud,57.6,confortable
775438266,26.6,chaud,56.9,confortable
775438270,26.6,chaud,56.4,confortable
775438273,26.5,chaud,55.9,confortable
775438277,26.4,chaud,55.6,confortable
775438280,26.4,chaud,55.6,confortable
775438284,26.3,chaud,55.4,confortable
775438288,26.2,chaud,55.3,confortable
775438291,26.1,chaud,55.3,confortable
775438295,26.1,chaud,55.4,confortable
775438298,26,chaud,55.4,confortable
775438302,25.9,chaud,55.4,confortable
775438306,25.9,chaud,55.6,confortable
775438309,25.8,chaud,57.7,confortable
775438313,25.8,chaud,57.5,confortable
775438316,25.7,chaud,57.3,confortable
775438320,25.7,chaud,57.5,confortable
775438324,25.6,chaud,57.3,confortable
775438327,25.5,chaud,57.2,confortable
775438331,25.5,chaud,57.1,confortable
775438334,25.4,chaud,57.1,confortable
775438338,25.3,chaud,57.1,confortable
775438342,25.3,chaud,60.5,confortable
775438345,25.2,chaud,60.4,confortable
775438349,25.2,chaud,60.1,confortable
775438352,25.1,chaud,59.6,confortable
775438356,25.1,chaud,59.2,confortable
775438360,25,ambiante,59,confortable
775438363,25,ambiante,58.7,confortable
775438367,24.9,ambiante,58.6,confortable
775438370,24.9,ambiante,58.5,confortable
775438374,24.8,ambiante,62.8,confortable
775438378,24.8,ambiante,66.3,confortable
775438381,24.8,ambiante,67.1,confortable
775438385,24.7,ambiante,66.5,confortable
775438388,24.7,ambiante,65.6,confortable
775438392,24.7,ambiante,65,confortable
775438396,24.6,ambiante,65.4,confortable
775438399,24.6,ambiante,64.8,confortable
775438403,24.5,ambiante,65,confortable
775438406,24.5,ambiante,65.6,confortable
775438410,24.4,ambiante,66.3,confortable
775438413,24.4,ambiante,66.7,confortable
775438417,24.4,ambiante,67.5,confortable
775438421,24.3,ambiante,66.1,confortable
775438424,24.3,ambiante,65.5,confortable
775438428,24.2,ambiante,64.1,confortable
775438431,24.2,ambiante,64.5,confortable
775438435,24.2,ambiante,65.6,confortable
775438439,24.2,ambiante,66.7,confortable
775438442,24.1,ambiante,68.5,confortable
